jam,menit,detik,cpm,temp,hum
13,20,00,55,31.6,59.7
13,21,00,54,31.6,60.1
13,22,00,38,31.5,60.7
13,23,00,39,31.6,61
13,24,00,48,31.6,60.3
13,25,00,30,31.6,59
13,26,00,36,31.7,59.5
13,27,00,28,31.7,57.6
13,28,00,53,31.5,57.1
13,29,00,44,31.2,56.9
13,30,00,34,31.1,56.4
13,31,00,44,30.8,56.7
13,32,00,40,30.7,57.4
13,33,00,34,30.7,57.9
13,34,00,64,30.8,58.2
13,35,00,44,30.8,58.1
13,36,00,57,30.8,59.2
13,37,00,33,30.6,58.6
13,38,00,29,30.7,58.2
13,39,00,39,30.8,57.7
13,40,00,60,30.6,57.6
13,41,00,49,30.5,57.9
13,42,00,60,30.5,57.8
13,43,00,37,30.3,58.7
13,44,00,62,30.2,59.1
13,45,00,38,30.1,59.5
13,46,00,40,30.1,59.5
13,47,00,70,30,59.5
13,48,00,55,30.1,58.8
13,49,00,76,30,58.4
13,50,00,26,30.1,57.8
13,51,00,41,30.1,57.6
13,52,00,56,30.2,57.6
13,53,00,45,30.2,57.1
13,54,00,41,30.1,57.4
13,55,00,53,30.2,57.7
13,56,00,47,29.9,58.1
13,57,00,52,29.7,59
13,58,00,44,29.6,59.5
13,59,00,33,29.5,60.5
14,00,00,47,29.6,60.6
14,01,00,34,29.6,60.6
14,02,00,34,29.5,60.7
14,03,00,33,29.3,61.2
14,04,00,47,29.3,61.5
14,05,00,26,29.3,61.3
14,06,00,28,29.2,61.8
14,07,00,33,29.2,62
14,08,00,42,29.3,62.3
14,09,00,32,29.3,62.4
14,10,00,48,29.5,62.1
14,11,00,24,29.6,61.4
14,12,00,43,29.6,61.4
14,13,00,34,29.6,61.6
14,14,00,51,29.6,61.4
14,15,00,38,29.5,61.5
14,16,00,29,29.5,61.7
14,17,00,35,29.7,61.1
14,18,00,67,29.7,60.9
14,19,00,42,29.7,61
14,20,00,45,29.7,62
14,21,00,25,29.7,62.1
14,22,00,38,29.7,63
14,23,00,43,29.8,63.5
14,24,00,49,29.8,63.8
14,25,00,36,29.8,63.8
14,26,00,47,29.8,64
14,27,00,39,29.7,65.1
14,28,00,55,29.6,65.8
14,29,00,30,29.7,65.6
14,30,00,34,29.7,65.5
14,31,00,41,29.6,65.8
14,32,00,21,29.6,66.5
14,33,00,41,29.6,66.5
14,34,00,49,29.6,66.2
14,35,00,30,29.5,60.7
14,36,00,34,29.5,60.9
14,37,00,18,29.4,60
14,38,00,39,29.4,60.1
14,39,00,28,29.5,59.6
14,40,00,36,29.5,59.2
14,41,00,25,29.6,59.4
14,42,00,38,29.6,58.8
14,43,00,53,29.6,58.9
14,44,00,37,29.6,59.2
14,45,00,41,29.5,59.3
14,46,00,23,29.4,59.6
14,47,00,30,29.3,60.4
14,48,00,39,29.3,59.6
14,49,00,22,29.2,60.5
14,50,00,25,29,60.9
14,51,00,42,29,61
14,52,00,37,28.9,61.4
14,53,00,39,28.8,61.8
14,54,00,41,28.8,62.2
14,55,00,43,28.7,62
14,56,00,46,28.8,62.1
14,57,00,31,28.8,62.4
14,58,00,33,28.8,62.2
14,59,00,43,28.7,62.7
15,00,00,25,28.8,62.5
15,01,00,61,28.8,62.5
15,02,00,36,28.7,63.1
15,03,00,31,28.5,64.6
15,04,00,46,28.5,65.5
15,05,00,42,28.5,66.5
15,06,00,43,28.4,66.6
15,07,00,27,28.2,67.4
15,08,00,22,28.2,68.6
15,09,00,58,28.2,68.6
